Open,Close,High,Low,Price,Change%,Date_Gregorian,Date_Persian
"696,486","696,486","696,486","696,486",672,0.1%,2025/10/05,1404/07/13
"695,814","695,814","695,814","695,814",-,-,2025/10/04,1404/07/12
"695,814","695,814","695,814","695,814",215,0.03%,2025/10/02,1404/07/10
"695,599","695,599","695,599","695,599",410,0.06%,2025/10/01,1404/07/09
"695,189","695,189","695,189","695,189",1699,0.24%,2025/09/30,1404/07/08
"693,490","693,490","693,490","693,490",874,0.13%,2025/09/29,1404/07/07
"692,616","692,616","692,616","692,616",38,0.01%,2025/09/28,1404/07/06
"692,578","692,578","692,578","692,578",57,0.01%,2025/09/25,1404/07/03
"692,521","692,521","692,521","692,521",62,0.01%,2025/09/24,1404/07/02
"692,459","692,459","692,459","692,459",305,0.04%,2025/09/23,1404/07/01
"692,154","692,154","692,154","692,154",98,0.01%,2025/09/22,1404/06/31
"692,252","692,252","692,252","692,252",606,0.09%,2025/09/21,1404/06/30
"692,858","692,858","692,858","692,858",-,-,2025/09/20,1404/06/29
"692,858","692,858","692,858","692,858",405,0.06%,2025/09/18,1404/06/27
"692,453","692,453","692,453","692,453",28,-,2025/09/17,1404/06/26
"692,481","692,481","692,481","692,481",380,0.05%,2025/09/16,1404/06/25
"692,861","692,861","692,861","692,861",189,0.03%,2025/09/15,1404/06/24
"693,050","693,050","693,050","693,050",37,0.01%,2025/09/14,1404/06/23
"693,013","693,013","693,013","693,013",202,0.03%,2025/09/11,1404/06/20
"692,811","692,811","692,811","692,811",96,0.01%,2025/09/09,1404/06/18
"692,416","692,416","692,715","692,715",328,0.05%,2025/09/08,1404/06/17
"692,387","692,387","692,416","692,387",29,-,2025/09/07,1404/06/16
"692,416","692,416","692,416","692,416",-,-,2025/09/06,1404/06/15
"692,416","692,416","692,416","692,416",222,0.03%,2025/09/04,1404/06/13
"692,194","692,194","692,194","692,194",241,0.03%,2025/09/03,1404/06/12
"691,953","691,953","691,953","691,953",417,0.06%,2025/09/02,1404/06/11
"692,370","692,370","692,370","692,370",217,0.03%,2025/08/31,1404/06/09
"692,587","692,587","692,587","692,587",-,-,2025/08/30,1404/06/08
"692,587","692,587","692,587","692,587",477,0.07%,2025/08/28,1404/06/06
"692,110","692,110","692,110","692,110",20,-,2025/08/27,1404/06/05
"691,912","691,912","692,090","692,090",501,0.07%,2025/08/26,1404/06/04
"692,591","691,912","692,591","692,591",679,0.1%,2025/08/25,1404/06/03
"691,912","691,912","691,912","691,912",679,0.1%,2025/08/24,1404/06/02
"692,591","692,591","692,591","692,591",679,0.1%,2025/08/23,1404/06/01
"691,912","691,912","691,912","691,912",679,0.1%,2025/08/22,1404/05/31
